CUSTOMER_KEY,CUSTOMER_ID,FIRST_NAME,LAST_NAME,GENDER,DATE_OF_BIRTH,AGE_GROUP,CITY,STATE,COUNTRY,CUSTOMER_STATUS,CREATED_AT,UPDATED_AT
0,-1,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-07-14 14:42:22,2026-07-14 14:42:22
2325,105003,Vikram,Rao,Female,04-01-04,22-25,Chennai,Tamil Nadu,India,INACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
2326,105002,Anil,Patel,Female,26-02-03,22-25,Hyderabad,Telangana,India,ACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
1,100002,Anil,Patel,Female,26-02-03,22-25,Hyderabad,Telangana,India,INACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
2,100003,Vikram,Rao,Female,04-01-04,22-25,Chennai,Tamil Nadu,India,INACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
3,100004,Asha,Kumar,Male,20-10-00,26-30,Hyderabad,Telangana,India,INACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
4,100005,Meena,Patel,Female,20-12-92,31-35,Bengaluru,Karnataka,India,INACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
5,100006,Vikram,Reddy,Male,10-05-00,26-30,Chennai,Tamil Nadu,India,ACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
6,100007,Anil,Kumar,Female,03-06-99,26-30,Pune,Maharashtra,India,ACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
7,100008,Sneha,Sharma,Male,08-02-88,36-41,Ahmedabad,Gujarat,India,INACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
8,100009,Ravi,Kumar,Female,13-11-96,26-30,Chennai,Tamil Nadu,India,ACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
9,100010,Meena,Reddy,Female,24-03-96,26-30,Bengaluru,Karnataka,India,ACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
10,100011,Nikhil,Singh,Female,17-12-95,31-35,Hyderabad,Telangana,India,ACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
11,100012,Divya,Verma,Male,18-11-87,36-41,Pune,Maharashtra,India,ACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
12,100013,Sneha,Das,Female,19-09-87,36-41,Bengaluru,Karnataka,India,ACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
13,100014,Ravi,Verma,Male,07-07-86,36-41,Hyderabad,Telangana,India,INACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
14,100015,Ravi,Das,Male,07-08-02,22-25,Pune,Maharashtra,India,INACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
15,100016,Anil,Reddy,Female,02-05-01,22-25,Chennai,Tamil Nadu,India,ACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
16,100017,Anil,Patel,Male,10-12-94,31-35,Ahmedabad,Gujarat,India,ACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
17,100018,Hemanth,Das,Male,10-09-88,36-41,Pune,Maharashtra,India,ACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
18,100019,Pooja,Singh,Male,28-12-97,26-30,Ahmedabad,Gujarat,India,ACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
19,100020,Vikram,Verma,Male,05-02-04,22-25,Bengaluru,Karnataka,India,ACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
20,100021,Arjun,Reddy,Male,28-05-94,31-35,Ahmedabad,Gujarat,India,INACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
21,100022,Divya,Singh,Male,18-03-85,36-41,Pune,Maharashtra,India,ACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
22,100023,Ravi,Das,Male,30-10-94,31-35,Ahmedabad,Gujarat,India,INACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
23,100024,Arjun,Das,Male,10-02-91,31-35,Chennai,Tamil Nadu,India,ACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
24,100025,Vikram,Verma,Male,30-01-85,36-41,Chennai,Tamil Nadu,India,ACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
25,100026,Meena,Singh,Male,21-09-03,22-25,Chennai,Tamil Nadu,India,ACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
26,100027,Pooja,Sharma,Female,03-12-98,26-30,Bengaluru,Karnataka,India,ACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
27,100028,Nikhil,Sharma,Male,31-07-93,31-35,Hyderabad,Telangana,India,INACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
28,100029,Anil,Patel,Female,23-07-86,36-41,Chennai,Tamil Nadu,India,INACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
29,100030,Meena,Das,Male,08-06-87,36-41,Ahmedabad,Gujarat,India,INACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
30,100031,Rahul,Verma,Female,14-01-85,36-41,Ahmedabad,Gujarat,India,ACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
31,100032,Rahul,Rao,Female,10-01-94,31-35,Chennai,Tamil Nadu,India,ACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
32,100033,Anil,Rao,Female,18-09-89,36-41,Pune,Maharashtra,India,INACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
33,100034,Kiran,Gupta,Female,05-02-87,36-41,Bengaluru,Karnataka,India,INACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
34,100035,Anil,Patel,Male,10-02-01,22-25,Pune,Maharashtra,India,INACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
35,100036,Pooja,Patel,Male,11-01-04,22-25,Hyderabad,Telangana,India,INACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
36,100037,Priya,Gupta,Female,27-07-88,36-41,Pune,Maharashtra,India,INACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
37,100038,Sneha,Patel,Female,14-07-92,31-35,Chennai,Tamil Nadu,India,ACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
38,100039,Priya,Sharma,Female,30-04-94,31-35,Hyderabad,Telangana,India,ACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
39,100040,Nikhil,Rao,Female,22-02-04,22-25,Pune,Maharashtra,India,ACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
40,100041,Kiran,Patel,Male,16-12-98,26-30,Ahmedabad,Gujarat,India,ACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
41,100042,Divya,Rao,Female,03-07-93,31-35,Chennai,Tamil Nadu,India,ACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
42,100043,Kiran,Verma,Male,06-11-92,31-35,Bengaluru,Karnataka,India,ACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
43,100044,Asha,Kumar,Male,26-08-97,26-30,Bengaluru,Karnataka,India,INACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
44,100045,Vikram,Singh,Male,31-12-91,31-35,Ahmedabad,Gujarat,India,INACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
45,100046,Pooja,Patel,Female,13-12-96,26-30,Pune,Maharashtra,India,INACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
46,100047,Ravi,Das,Female,13-12-88,36-41,Ahmedabad,Gujarat,India,INACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
47,100048,Arjun,Das,Female,21-06-90,36-41,Pune,Maharashtra,India,INACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
48,100049,Rahul,Kumar,Female,20-06-97,26-30,Hyderabad,Telangana,India,ACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
49,100050,Ravi,Patel,Female,21-12-89,36-41,Pune,Maharashtra,India,ACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
50,100051,Sneha,Iyer,Female,29-01-91,31-35,Chennai,Tamil Nadu,India,INACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
51,100052,Anil,Reddy,Female,04-04-87,36-41,Bengaluru,Karnataka,India,INACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
52,100053,Anil,Verma,Female,23-08-00,26-30,Bengaluru,Karnataka,India,INACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
53,100054,Ravi,Kumar,Female,24-07-87,36-41,Hyderabad,Telangana,India,INACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
54,100055,Kiran,Reddy,Female,07-08-98,26-30,Ahmedabad,Gujarat,India,ACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
55,100056,Asha,Das,Male,04-09-98,26-30,Hyderabad,Telangana,India,ACTIVE,2026-07-14 15:37:34,2026-07-14 15:37:34
