CUSTOMER_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE,GENDER,DATE_OF_BIRTH,CITY,STATE,COUNTRY,CUSTOMER_STATUS,CREATED_DATE,UPDATED_DATE
100001, Meena ,Reddy,,98765AB210,Female,2035-01-01,Hyderabad,Telangana,India,ACTIVE,2025-01-01 09:00:00,2025-01-01 09:00:00
100002,Anil,Patel,anil.patel100002@gmail.com,9890838637,Female,2003-02-26,Hyderabad,Telangana,India,ACTIVE,2025-01-01 09:01:00,2025-01-01 09:01:00
100003,Vikram,Rao,vikram.rao100003@gmail.com,9542351161,Female,2004-01-04,Chennai,Tamil Nadu,India,INACTIVE,2025-01-01 09:02:00,2025-01-01 09:02:00
100004,Asha,Kumar,asha.kumar100004@gmail.com,9781618495,Male,2000-10-20,Hyderabad,Telangana,India,ACTIVE,2025-01-01 09:03:00,2025-01-01 09:03:00
100005,Meena,Patel,meena.patel100005@gmail.com,9413164752,Female,1992-12-20,Bengaluru,Karnataka,India,INACTIVE,2025-01-01 09:04:00,2025-01-01 09:04:00
100006,Vikram,Reddy,vikram.reddy100006@gmail.com,9928327648,Male,2000-05-10,Chennai,Tamil Nadu,India,ACTIVE,2025-01-01 09:05:00,2025-01-01 09:05:00
100007,Anil,Kumar,anil.kumar100007@gmail.com,9564139537,Female,1999-06-03,Pune,Maharashtra,India,ACTIVE,2025-01-01 09:06:00,2025-01-01 09:06:00
100008,Sneha,Sharma,sneha.sharma100008@gmail.com,9388496965,Male,1988-02-08,Ahmedabad,Gujarat,India,INACTIVE,2025-01-01 09:07:00,2025-01-01 09:07:00
100009,Ravi,Kumar,ravi.kumar100009@gmail.com,9122691669,Female,1996-11-13,Chennai,Tamil Nadu,India,ACTIVE,2025-01-01 09:08:00,2025-01-01 09:08:00
100010,Meena,Reddy,meena.reddy100010@gmail.com,9845146270,Female,1996-03-24,Bengaluru,Karnataka,India,ACTIVE,2025-01-01 09:09:00,2025-01-01 09:09:00
100011,Nikhil,Singh,nikhil.singh100011@gmail.com,9893252880,Female,1995-12-17,Hyderabad,Telangana,India,ACTIVE,2025-01-01 09:10:00,2025-01-01 09:10:00
100012,Divya,Verma,divya.verma100012@gmail.com,9430391171,Male,1987-11-18,Pune,Maharashtra,India,ACTIVE,2025-01-01 09:11:00,2025-01-01 09:11:00
100013,Sneha,Das,sneha.das100013@gmail.com,9963834657,Female,1987-09-19,Bengaluru,Karnataka,India,ACTIVE,2025-01-01 09:12:00,2025-01-01 09:12:00
100014,Ravi,Verma,ravi.verma100014@gmail.com,9098393010,Male,1986-07-07,Hyderabad,Telangana,India,INACTIVE,2025-01-01 09:13:00,2025-01-01 09:13:00
100015,Ravi,Das,ravi.das100015@gmail.com,9347382997,Male,2002-08-07,Pune,Maharashtra,India,INACTIVE,2025-01-01 09:14:00,2025-01-01 09:14:00
100016,Anil,Reddy,anil.reddy100016@gmail.com,9165667010,Female,2001-05-02,Chennai,Tamil Nadu,India,ACTIVE,2025-01-01 09:15:00,2025-01-01 09:15:00
100017,Anil,Patel,anil.patel100017@gmail.com,9387262473,Male,1994-12-10,Ahmedabad,Gujarat,India,ACTIVE,2025-01-01 09:16:00,2025-01-01 09:16:00
100018,Hemanth,Das,hemanth.das100018@gmail.com,9013267736,Male,1988-09-10,Pune,Maharashtra,India,ACTIVE,2025-01-01 09:17:00,2025-01-01 09:17:00
100019,Pooja,Singh,pooja.singh100019@gmail.com,9746872343,Male,1997-12-28,Ahmedabad,Gujarat,India,ACTIVE,2025-01-01 09:18:00,2025-01-01 09:18:00
100020,Vikram,Verma,vikram.verma100020@gmail.com,9009788208,Male,2004-02-05,Bengaluru,Karnataka,India,ACTIVE,2025-01-01 09:19:00,2025-01-01 09:19:00
100021,Arjun,Reddy,arjun.reddy100021@gmail.com,9361939909,Male,1994-05-28,Ahmedabad,Gujarat,India,INACTIVE,2025-01-01 09:20:00,2025-01-01 09:20:00
100022,Divya,Singh,divya.singh100022@gmail.com,9353462475,Male,1985-03-18,Pune,Maharashtra,India,ACTIVE,2025-01-01 09:21:00,2025-01-01 09:21:00
100023,Ravi,Das,ravi.das100023@gmail.com,9384251354,Male,1994-10-30,Ahmedabad,Gujarat,India,INACTIVE,2025-01-01 09:22:00,2025-01-01 09:22:00
100024,Arjun,Das,arjun.das100024@gmail.com,9084124118,Male,1991-02-10,Chennai,Tamil Nadu,India,ACTIVE,2025-01-01 09:23:00,2025-01-01 09:23:00
100025,Vikram,Verma,vikram.verma100025@gmail.com,9348740164,Male,1985-01-30,Chennai,Tamil Nadu,India,ACTIVE,2025-01-01 09:24:00,2025-01-01 09:24:00
100026,Meena,Singh,meena.singh100026@gmail.com,9278680112,Male,2003-09-21,Chennai,Tamil Nadu,India,ACTIVE,2025-01-01 09:25:00,2025-01-01 09:25:00
100027,Pooja,Sharma,pooja.sharma100027@gmail.com,9045053315,Female,1998-12-03,Bengaluru,Karnataka,India,ACTIVE,2025-01-01 09:26:00,2025-01-01 09:26:00
100028,Nikhil,Sharma,nikhil.sharma100028@gmail.com,9260256342,Male,1993-07-31,Hyderabad,Telangana,India,INACTIVE,2025-01-01 09:27:00,2025-01-01 09:27:00
100029,Anil,Patel,anil.patel100029@gmail.com,9754330365,Female,1986-07-23,Chennai,Tamil Nadu,India,INACTIVE,2025-01-01 09:28:00,2025-01-01 09:28:00
100030,Meena,Das,meena.das100030@gmail.com,9685014294,Male,1987-06-08,Ahmedabad,Gujarat,India,INACTIVE,2025-01-01 09:29:00,2025-01-01 09:29:00
100031,Rahul,Verma,rahul.verma100031@gmail.com,9698169340,Female,1985-01-14,Ahmedabad,Gujarat,India,ACTIVE,2025-01-01 09:30:00,2025-01-01 09:30:00
100032,Rahul,Rao,rahul.rao100032@gmail.com,9159514846,Female,1994-01-10,Chennai,Tamil Nadu,India,ACTIVE,2025-01-01 09:31:00,2025-01-01 09:31:00
100033,Anil,Rao,anil.rao100033@gmail.com,9629946804,Female,1989-09-18,Pune,Maharashtra,India,INACTIVE,2025-01-01 09:32:00,2025-01-01 09:32:00
100034,Kiran,Gupta,kiran.gupta100034@gmail.com,9738721489,Female,1987-02-05,Bengaluru,Karnataka,India,INACTIVE,2025-01-01 09:33:00,2025-01-01 09:33:00
100035,Anil,Patel,anil.patel100035@gmail.com,9200379176,Male,2001-02-10,Pune,Maharashtra,India,INACTIVE,2025-01-01 09:34:00,2025-01-01 09:34:00
100036,Pooja,Patel,pooja.patel100036@gmail.com,9201632870,Male,2004-01-11,Hyderabad,Telangana,India,INACTIVE,2025-01-01 09:35:00,2025-01-01 09:35:00
100037,Priya,Gupta,priya.gupta100037@gmail.com,9889579868,Female,1988-07-27,Pune,Maharashtra,India,INACTIVE,2025-01-01 09:36:00,2025-01-01 09:36:00
100038,Sneha,Patel,sneha.patel100038@gmail.com,9487347143,Female,1992-07-14,Chennai,Tamil Nadu,India,ACTIVE,2025-01-01 09:37:00,2025-01-01 09:37:00
100039,Priya,Sharma,priya.sharma100039@gmail.com,9362316658,Female,1994-04-30,Hyderabad,Telangana,India,ACTIVE,2025-01-01 09:38:00,2025-01-01 09:38:00
100040,Nikhil,Rao,nikhil.rao100040@gmail.com,9690967054,Female,2004-02-22,Pune,Maharashtra,India,ACTIVE,2025-01-01 09:39:00,2025-01-01 09:39:00
100041,Kiran,Patel,kiran.patel100041@gmail.com,9467065627,Male,1998-12-16,Ahmedabad,Gujarat,India,ACTIVE,2025-01-01 09:40:00,2025-01-01 09:40:00
100042,Divya,Rao,divya.rao100042@gmail.com,9990162720,Female,1993-07-03,Chennai,Tamil Nadu,India,ACTIVE,2025-01-01 09:41:00,2025-01-01 09:41:00
100043,Kiran,Verma,kiran.verma100043@gmail.com,9564641708,Male,1992-11-06,Bengaluru,Karnataka,India,ACTIVE,2025-01-01 09:42:00,2025-01-01 09:42:00
100044,Asha,Kumar,asha.kumar100044@gmail.com,9033092327,Male,1997-08-26,Bengaluru,Karnataka,India,INACTIVE,2025-01-01 09:43:00,2025-01-01 09:43:00
100045,Vikram,Singh,vikram.singh100045@gmail.com,9529912419,Male,1991-12-31,Ahmedabad,Gujarat,India,INACTIVE,2025-01-01 09:44:00,2025-01-01 09:44:00
100046,Pooja,Patel,pooja.patel100046@gmail.com,9193149190,Female,1996-12-13,Pune,Maharashtra,India,INACTIVE,2025-01-01 09:45:00,2025-01-01 09:45:00
100047,Ravi,Das,ravi.das100047@gmail.com,9506716572,Female,1988-12-13,Ahmedabad,Gujarat,India,INACTIVE,2025-01-01 09:46:00,2025-01-01 09:46:00
100048,Arjun,Das,arjun.das100048@gmail.com,9776945314,Female,1990-06-21,Pune,Maharashtra,India,INACTIVE,2025-01-01 09:47:00,2025-01-01 09:47:00
100049,Rahul,Kumar,rahul.kumar100049@gmail.com,9752735454,Female,1997-06-20,Hyderabad,Telangana,India,ACTIVE,2025-01-01 09:48:00,2025-01-01 09:48:00
100050,Ravi,Patel,ravi.patel100050@gmail.com,9678377701,Female,1989-12-21,Pune,Maharashtra,India,ACTIVE,2025-01-01 09:49:00,2025-01-01 09:49:00
100051,Sneha,Iyer,sneha.iyer100051@gmail.com,9578856855,Female,1991-01-29,Chennai,Tamil Nadu,India,INACTIVE,2025-01-01 09:50:00,2025-01-01 09:50:00
